门店ID,门店名称,区域,门店类型,商品SKU,商品名称,品类,当前库存,在途数量,安全库存,7天预测需求,缺货风险等级,建议补货量,使用策略,可调拨门店,建议原因,原始建议量,预算池,预算池上限(元),预算池已用(元),是否延后
S001,南京路旗舰店,华东区,旗舰店,SKU009,洗衣液2kg,日化,143,10,10,156.25,低,0,日化标准策略,,"7天预测需求约156.2；策略:日化标准策略(服务水平95%,周转60天,提前期5天)；有效安全系数:1.79x",1314.0,日化,,,是
S002,陆家嘴店,华东区,标准店,SKU008,巧克力棒,零食,360,2,25,362.72,低,0,零食标准策略,,"7天预测需求约362.7；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x",1404.0,零食,15000.0,14976.0,是
S002,陆家嘴店,华东区,标准店,SKU009,洗衣液2kg,日化,109,10,10,126.12,低,0,日化标准策略,,"7天预测需求约126.1；策略:日化标准策略(服务水平95%,周转60天,提前期5天)；有效安全系数:1.79x",1068.0,日化,,,是
S004,国贸店,华北区,标准店,SKU009,洗衣液2kg,日化,102,10,10,110.38,低,0,日化标准策略,,"7天预测需求约110.4；策略:日化标准策略(服务水平95%,周转60天,提前期5天)；有效安全系数:1.79x",930.0,日化,,,是
S002,陆家嘴店,华东区,标准店,SKU005,矿泉水550ml,饮料,643,13,100,2180.18,中,0,饮料促销策略,,"已下单400件在途；7天预测需求约2180.2；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x",4440.0,饮料,25000.0,19476.0,是
S003,中关村店,华北区,旗舰店,SKU003,全麦面包500g,烘焙,335,17,30,511.25,中,0,烘焙新鲜策略,,库存充足(可用352件，目标345件),,,,,
S003,中关村店,华北区,旗舰店,SKU009,洗衣液2kg,日化,103,7,10,141.31,中,0,日化标准策略,,"7天预测需求约141.3；策略:日化标准策略(服务水平95%,周转60天,提前期5天)；有效安全系数:1.79x",1218.0,日化,,,是
S005,天河城店,华南区,旗舰店,SKU009,洗衣液2kg,日化,110,8,10,163.25,中,0,日化标准策略,,"7天预测需求约163.2；策略:日化标准策略(服务水平95%,周转60天,提前期5天)；有效安全系数:1.79x",1416.0,日化,,,是
S001,南京路旗舰店,华东区,旗舰店,SKU001,经典牛奶250ml,乳制品,11,0,50,939.53,高,0,乳制品快周转策略,,"当前库存低于安全库存(50)；已下单500件在途；7天预测需求约939.5；策略:乳制品快周转策略(服务水平98%,周转5天,提前期2天)；有效安全系数:2.63x",576.0,乳制品,,,是
S001,南京路旗舰店,华东区,旗舰店,SKU002,原味酸奶100g,乳制品,42,12,80,1361.19,高,72,乳制品快周转策略,,"当前库存低于安全库存(80)；7天预测需求约1361.2；策略:乳制品快周转策略(服务水平98%,周转5天,提前期2天)；有效安全系数:2.63x",1536.0,乳制品,,,
S001,南京路旗舰店,华东区,旗舰店,SKU003,全麦面包500g,烘焙,138,20,30,588.59,高,0,烘焙新鲜策略,,"7天预测需求约588.6；策略:烘焙新鲜策略(服务水平95%,周转3天,提前期1天)；有效安全系数:1.79x",228.0,烘焙,,,是
S001,南京路旗舰店,华东区,旗舰店,SKU004,鸡蛋30枚装,蛋品,8,0,20,354.84,高,0,蛋品标准策略,,"当前库存低于安全库存(20)；无在途/已下单补货；7天预测需求约354.8；策略:蛋品标准策略(服务水平95%,周转7天,提前期2天)；有效安全系数:1.79x",485.0,蛋品,,,是
S001,南京路旗舰店,华东区,旗舰店,SKU005,矿泉水550ml,饮料,37,8,100,2711.77,高,6744,饮料促销策略,,"当前库存低于安全库存(100)；7天预测需求约2711.8；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x",6744.0,饮料,25000.0,10116.0,
S001,南京路旗舰店,华东区,旗舰店,SKU006,可乐330ml罐,饮料,148,40,70,1560.66,高,3744,饮料促销策略,,"7天预测需求约1560.7；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x",3744.0,饮料,25000.0,19476.0,
S001,南京路旗舰店,华东区,旗舰店,SKU007,薯片原味,零食,9,0,40,1075.94,高,2496,零食标准策略,,"当前库存低于安全库存(40)；无在途/已下单补货；7天预测需求约1075.9；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x",5136.0,零食,15000.0,14976.0,
S001,南京路旗舰店,华东区,旗舰店,SKU008,巧克力棒,零食,-287,8,25,453.59,高,0,零食标准策略,,"当前库存低于安全库存(25)；已下单800件在途；7天预测需求约453.6；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x",1668.0,零食,15000.0,14976.0,是
S001,南京路旗舰店,华东区,旗舰店,SKU010,纸巾抽纸3包,日化,13,0,18,272.91,高,1692,日化标准策略,,"当前库存低于安全库存(18)；无在途/已下单补货；7天预测需求约272.9；策略:日化标准策略(服务水平95%,周转60天,提前期5天)；有效安全系数:1.79x",2556.0,日化,,,
S002,陆家嘴店,华东区,标准店,SKU001,经典牛奶250ml,乳制品,4,0,50,736.22,高,0,乳制品快周转策略,,"当前库存低于安全库存(50)；无在途/已下单补货；7天预测需求约736.2；策略:乳制品快周转策略(服务水平98%,周转5天,提前期2天)；有效安全系数:2.63x",864.0,乳制品,,,是
S002,陆家嘴店,华东区,标准店,SKU002,原味酸奶100g,乳制品,44,31,80,1059.75,高,0,乳制品快周转策略,,"当前库存低于安全库存(80)；7天预测需求约1059.8；策略:乳制品快周转策略(服务水平98%,周转5天,提前期2天)；有效安全系数:2.63x",1200.0,乳制品,,,是
S002,陆家嘴店,华东区,标准店,SKU003,全麦面包500g,烘焙,92,28,30,463.59,高,0,烘焙新鲜策略,,"7天预测需求约463.6；策略:烘焙新鲜策略(服务水平95%,周转3天,提前期1天)；有效安全系数:1.79x",198.0,烘焙,,,是
S002,陆家嘴店,华东区,标准店,SKU004,鸡蛋30枚装,蛋品,12,0,20,261.72,高,0,蛋品标准策略,,"当前库存低于安全库存(20)；无在途/已下单补货；7天预测需求约261.7；策略:蛋品标准策略(服务水平95%,周转7天,提前期2天)；有效安全系数:1.79x",361.0,蛋品,,,是
S002,陆家嘴店,华东区,标准店,SKU006,可乐330ml罐,饮料,130,58,70,910.94,高,0,饮料促销策略,,"7天预测需求约910.9；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x",2184.0,饮料,25000.0,19476.0,是
S002,陆家嘴店,华东区,标准店,SKU007,薯片原味,零食,9,0,40,856.66,高,0,零食标准策略,,"当前库存低于安全库存(40)；无在途/已下单补货；7天预测需求约856.7；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x",4104.0,零食,15000.0,14976.0,是
S002,陆家嘴店,华东区,标准店,SKU010,纸巾抽纸3包,日化,5,0,18,223.44,高,0,日化标准策略,,"当前库存低于安全库存(18)；无在途/已下单补货；7天预测需求约223.4；策略:日化标准策略(服务水平95%,周转60天,提前期5天)；有效安全系数:1.79x",2100.0,日化,,,是
S003,中关村店,华北区,旗舰店,SKU001,经典牛奶250ml,乳制品,13,0,50,818.62,高,0,乳制品快周转策略,,"当前库存低于安全库存(50)；无在途/已下单补货；7天预测需求约818.6；策略:乳制品快周转策略(服务水平98%,周转5天,提前期2天)；有效安全系数:2.63x",960.0,乳制品,,,是
S003,中关村店,华北区,旗舰店,SKU002,原味酸奶100g,乳制品,38,5,80,1233.66,高,0,乳制品快周转策略,,"当前库存低于安全库存(80)；7天预测需求约1233.7；策略:乳制品快周转策略(服务水平98%,周转5天,提前期2天)；有效安全系数:2.63x",1416.0,乳制品,,,是
S003,中关村店,华北区,旗舰店,SKU004,鸡蛋30枚装,蛋品,11,0,20,294.16,高,0,蛋品标准策略,,"当前库存低于安全库存(20)；无在途/已下单补货；7天预测需求约294.2；策略:蛋品标准策略(服务水平95%,周转7天,提前期2天)；有效安全系数:1.79x",404.0,蛋品,,,是
S003,中关村店,华北区,旗舰店,SKU005,矿泉水550ml,饮料,38,25,100,2211.22,高,0,饮料促销策略,,"当前库存低于安全库存(100)；7天预测需求约2211.2；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x",5520.0,饮料,25000.0,19476.0,是
S003,中关村店,华北区,旗舰店,SKU006,可乐330ml罐,饮料,92,52,70,977.5,高,0,饮料促销策略,,"7天预测需求约977.5；策略:饮料促销策略(服务水平90%,周转14天,提前期3天)；有效安全系数:1.95x",2376.0,饮料,25000.0,19476.0,是
S003,中关村店,华北区,旗舰店,SKU007,薯片原味,零食,12,0,40,925.16,高,0,零食标准策略,,"当前库存低于安全库存(40)；无在途/已下单补货；7天预测需求约925.2；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x",4428.0,零食,15000.0,14976.0,是
S003,中关村店,华北区,旗舰店,SKU008,巧克力棒,零食,28,6,25,416.31,高,0,零食标准策略,,"7天预测需求约416.3；策略:零食标准策略(服务水平95%,周转30天,提前期3天)；有效安全系数:1.79x",1980.0,零食,15000.0,14976.0,是
